transaction_id,transaction_datetime,customer_id,customer_full_name,customer_age,customer_country,customer_loyalty_tier,customer_account_age_days,product_category,product_subcategory,quantity_purchased,unit_price_usd,gross_amount_usd,loyalty_discount_pct,promo_discount_pct,total_discount_pct,discount_amount_usd,net_amount_before_tax_usd,tax_rate,tax_amount_usd,net_amount_after_tax_usd,shipping_fee_usd,total_transaction_amount_usd,payment_method,device_type,days_since_last_purchase,is_fraudulent,is_returned,is_churned_customer
TXN0000001,2023-03-13 10:13:05,CUST00303,Joseph Brown,69,Brazil,Bronze,2955,Clothing,Dress,1,93.32,93.32,0.0,0.2,0.2,18.66,74.66,0.09,6.72,81.38,0.0,81.38,Credit Card,Desktop,140,0,0,0
TXN0000002,2024-02-24 09:21:08,CUST00101,Lisa Singh,67,United States,Bronze,2609,Toys,LEGO,3,56.38,169.14,0.0,0.05,0.05,8.46,160.68,0.08,12.85,173.53,0.0,173.53,Apple Pay,Mobile,213,0,0,1
TXN0000003,2024-10-01 22:45:29,CUST00604,Michael Martin,35,United States,Bronze,2271,Toys,Educational,2,220.81,441.62,0.0,0.0,0.0,0.0,441.62,0.069,30.47,472.09,0.0,472.09,Debit Card,Desktop,273,0,0,1
TXN0000004,2023-12-05 04:14:06,CUST01214,David Nguyen,20,United States,Bronze,3622,Beauty,Skincare,1,80.24,80.24,0.0,0.0,0.0,0.0,80.24,0.065,5.22,85.46,0.0,85.46,PayPal,Mobile,33,0,0,0
TXN0000005,2023-05-30 01:34:25,CUST00951,Priya Kim,39,Japan,Silver,311,Beauty,Nail Care,2,124.25,248.5,0.05,0.0,0.05,12.43,236.07,0.11,25.97,262.04,0.0,262.04,Debit Card,Mobile,249,0,0,0
TXN0000006,2024-05-26 14:30:43,CUST00840,Aisha Taylor,74,United Kingdom,Bronze,2780,Beauty,Vitamins,1,98.44,98.44,0.0,0.0,0.0,0.0,98.44,0.064,6.3,104.74,0.0,104.74,Credit Card,Desktop,330,0,0,1
TXN0000007,2024-11-27 13:03:53,CUST01279,Sofia Rodriguez,57,United States,Silver,549,Toys,Action Figure,4,18.55,74.2,0.05,0.0,0.05,3.71,70.49,0.08,5.64,76.13,0.0,76.13,Credit Card,Tablet,72,0,0,0
TXN0000008,2024-07-26 15:04:54,CUST00355,Lisa Gonzalez,29,United Kingdom,Bronze,357,Clothing,Shoes,1,153.96,153.96,0.0,0.0,0.0,0.0,153.96,0.127,19.55,173.51,0.0,173.51,Credit Card,Desktop,121,0,0,0
TXN0000009,2024-02-19 08:36:03,CUST01404,Mary Kim,38,Mexico,Bronze,1866,Home & Garden,Bedding,1,89.91,89.91,0.0,0.0,0.0,0.0,89.91,0.091,8.18,98.09,0.0,98.09,Google Pay,Mobile,217,0,0,1
TXN0000010,2024-12-04 02:41:58,CUST00713,Sofia Brown,64,United States,Bronze,3030,Home & Garden,Tools,4,704.14,2816.56,0.0,0.0,0.0,0.0,2816.56,0.122,343.62,3160.18,0.0,3160.18,Apple Pay,Mobile,340,1,0,1
